Index,Values,Index,ExpectedFails,TrueProbability
Total Tries,2552793587,,,
Level 1,638164485,1,319082242.5,319082242.5
Level 2,319133585,2,79783396.25,239350188.75
Level 3,159550340,4,19943792.5,139606547.5
Level 4,79777413,8,4986088.3125,74791324.6875
Level 5,39885676,16,1246427.375,38639248.625
Level 6,19944615,32,311634.609375,19632980.390625
Level 7,9970062,64,77891.109375,9892170.890625
Level 8,4983953,128,19468.56640625,4964484.43359375
Level 9,2491076,256,4865.3828125,2486210.6171875
Level 10,1246783,512,1217.5615234375,1245565.43847656
Level 11,623761,1024,304.57080078125,623456.429199219
Level 12,312101,2048,76.196533203125,312024.803466797
Level 13,156311,4096,19.0809326171875,156291.919067383
Level 14,77694,8192,4.7420654296875,77689.2579345703
Level 15,38519,16384,1.17550659179688,38517.8244934082
Level 16,19532,32768,0.29803466796875,19531.701965332
Level 17,9761,65536,0.0744705200195313,9760.92552947998
Level 18,4918,131072,0.0187606811523438,4917.98123931885
Level 19,2439,262144,0.00465202331542969,2438.99534797668
Level 20,1167,524288,0.00111293792724609,1166.99888706207
Level 21,577,1048576,0.000275135040283203,576.99972486496
Level 22,324,2097152,7.72476196289063E-05,323.99992275238
Level 23,151,4194304,1.8000602722168E-05,150.999981999397
Level 24,72,8388608,4.29153442382813E-06,71.9999957084656
Level 25,28,16777216,8.34465026855469E-07,27.999999165535
Level 26,17,33554432,2.5331974029541E-07,16.9999997466803
Level 27,12,67108864,8.94069671630859E-08,11.999999910593
Level 28,4,134217728,1.49011611938477E-08,3.99999998509884
Level 29,0,268435456,0,0
Level 30,2,536870912,1.86264514923096E-09,1.99999999813735
Level 31,2,1073741824,9.31322574615479E-10,1.99999999906868
Level 32,0,2147483648,0,0
Level 33,1,4294967296,1.16415321826935E-10,0.999999999883585
Level 34,0,8589934592,,
Level 35,0,,,
